net,length_um
net18,672.38µm
_0200_,587.42µm
net38,472.7µm
_0459_,431.24µm
clknet_0_CLK_I,391.79µm
_0329_,371.32µm
_0330_,338.28µm
_0461_,330.49µm
net43,322.86µm
_0557_,308.71µm
_0328_,278.42µm
net41,272.92µm
_0555_,246.04µm
net42,244.36µm
net39,236.21µm
counter_control_status_register\[6\],222.01µm
_0558_,220.18µm
net40,216.51µm
counter_control_status_register\[7\],213.46µm
_0252_,212.08µm
afe_config_bypass_control_register\[4\],207.86µm
_0559_,206.89µm
CLK_I,201.165µm
_0204_,194.16µm
net20,193.45µm
afe_config_bypass_control_register\[3\],184.29µm
_0223_,172.78µm
_0413_,168.76µm
_0253_,166.72µm
clknet_4_5_0_CLK_I,164.84µm
_0208_,164.74µm
signal_input,164.5µm
_0553_,161.41µm
clknet_4_0_0_CLK_I,161.02µm
afe_config_bypass_control_register\[2\],153.55µm
net14,152.93µm
_0210_,150.38µm
clknet_4_13_0_CLK_I,148.7µm
afe_config_bypass_control_register\[7\],145.04µm
clknet_4_3_0_CLK_I,141.32µm
_0342_,141.22µm
_0563_,140.71µm
clknet_4_15_0_CLK_I,139.64µm
pulse_count_threshold_register\[10\],138.47µm
net17,136.13µm
net1,135.77µm
_0241_,135.72µm
net10,135.62µm
_0240_,135.21µm
measurement_pulse_start_internal_flag,135.16µm
net12,131.29µm
clknet_1_0__leaf_signal_input_regs,130.27µm
clknet_4_7_0_CLK_I,130.17µm
clknet_4_14_0_CLK_I,123.4µm
_0205_,121.92µm
pulse_timing_register\[7\],121.57µm
pulse_count_threshold_register\[13\],120.45µm
clknet_4_2_0_CLK_I,120.14µm
net2,119.48µm
clknet_4_12_0_CLK_I,118.97µm
_0414_,118.72µm
_0165_,118.41µm
clknet_4_10_0_CLK_I,118.31µm
_0207_,116.68µm
clknet_4_1_0_CLK_I,116.07µm
clknet_4_4_0_CLK_I,115µm
net15,114.29µm
pulse_count_threshold_register\[11\],110.42µm
net13,109.45µm
counter_control_status_register\[4\],109.45µm
_0222_,107.77µm
clknet_4_11_0_CLK_I,107.67µm
_0614_,101.92µm
_0589_,100.8µm
pulse_count_threshold_register\[8\],100.34µm
_0603_,99.73µm
net34,99.12µm
_0596_,96.88µm
_0178_,96.32µm
_0529_,95.91µm
_0179_,95.25µm
net35,92.96µm
net11,92.6µm
clknet_4_6_0_CLK_I,92.09µm
measurement_state_machine\[2\],90.92µm
