net,length_um
clknet_0_CLK_I,557.88µm
_0329_,403.65µm
_0459_,383.99µm
_0252_,361.65µm
net60,344.8µm
net42,330.54µm
counter_control_status_register\[7\],326.17µm
signal_input,323.54µm
net59,317.51µm
net56,315.99µm
_0461_,311.45µm
counter_control_status_register\[6\],308.1µm
net55,305.73µm
net53,288.09µm
net40,284.47µm
measurement_pulse_start_internal_flag,282.59µm
net20,273.02µm
afe_config_bypass_control_register\[7\],262.9µm
afe_config_bypass_control_register\[2\],247.57µm
net57,246.24µm
net54,242.32µm
afe_config_bypass_control_register\[6\],240.39µm
net14,239.78µm
afe_config_bypass_control_register\[3\],238.61µm
net41,231.83µm
net48,231.28µm
afe_config_bypass_control_register\[4\],228.48µm
afe_config_bypass_control_register\[5\],216.87µm
_0253_,216µm
net15,204.22µm
net13,203.38µm
_0200_,200.22µm
_0328_,199.97µm
_0195_,187.9µm
CLK_I,185.22µm
net58,172.17µm
clknet_4_4_0_CLK_I,169.42µm
net45,168.1µm
net46,167.64µm
net49,166.06µm
net12,164.23µm
clknet_4_3_0_CLK_I,163.06µm
net11,161.48µm
net10,160.36µm
net18,159.24µm
clknet_1_0__leaf_signal_input_regs,158.63µm
clknet_4_7_0_CLK_I,158.02µm
net50,156.95µm
_0569_,150.64µm
_0204_,146.41µm
clknet_4_5_0_CLK_I,146.31µm
_0210_,144.27µm
counter_control_status_register\[4\],137.3µm
clknet_4_15_0_CLK_I,136.32µm
clknet_4_6_0_CLK_I,132.97µm
_0165_,132.41µm
clknet_4_8_0_CLK_I,129.56µm
clknet_4_0_0_CLK_I,127.88µm
_0576_,127.78µm
clknet_4_9_0_CLK_I,127.47µm
counter_control_status_register\[5\],125.08µm
clknet_4_1_0_CLK_I,123.65µm
_0414_,123.3µm
_0623_,121.21µm
measurement_pulse_done_internal_flag,118.31µm
_0223_,117.8µm
clknet_4_14_0_CLK_I,116.63µm
clknet_4_2_0_CLK_I,115.71µm
net17,112.61µm
clknet_4_13_0_CLK_I,110.57µm
_0241_,110.52µm
clknet_4_11_0_CLK_I,110.52µm
_0330_,110.01µm
net52,108.13µm
_0212_,107.67µm
net2,107.21µm
clknet_1_1__leaf_signal_input_regs,106.65µm
net47,105.99µm
range_timing_internal\[11\],105.89µm
range_timing_register\[6\],104.26µm
clknet_4_12_0_CLK_I,103.8µm
_0602_,102.48µm
_0553_,102.27µm
_0622_,102.22µm
_0561_,99.17µm
_0552_,98.1µm
_0589_,96.98µm
clknet_4_10_0_CLK_I,96.24µm
_0529_,95.3µm
_0615_,95.3µm
counter_control_status_register\[0\],94.18µm
pulse_count_threshold_register\[2\],94.18µm
pulse_count_threshold_register\[13\],94.13µm
range_timing_register\[4\],93.52µm
pulse_timing_register\[17\],91.89µm
pulse_timing_register\[20\],91.48µm
_0547_,90.82µm
_0551_,90.36µm
net44,90.26µm
range_timing_internal\[5\],87.97µm
measurement_state_machine\[3\],87.46µm
_0182_,85.78µm
_0614_,84µm
net51,83.03µm
_0583_,81.76µm
pulse_count_threshold_register\[15\],80.79µm
_0211_,79.67µm
pulse_count_threshold_register\[4\],77.38µm
_0597_,77.33µm
_0558_,77.28µm
pulse_count_threshold_register\[1\],76.77µm
pulse_count_threshold_register\[7\],76.36µm
net38,76.26µm
pulse_count_threshold_register\[9\],76.21µm
pulse_count_threshold_register\[10\],75.19µm
_0443_,75.09µm
_0548_,75.09µm
net1,74.48µm
_0555_,74.48µm
_0183_,74.12µm
_0319_,73.97µm
