Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_36_520,VDD,Metal1,298.4800,160.7200,4.999997
FILLER_36_444,VDD,Metal1,255.6400,160.7200,4.999997
FILLER_36_410,VDD,Metal1,245.9555,159.9510,4.999997
FILLER_36_376,VDD,Metal1,226.9155,159.9510,4.999997
FILLER_36_372,VDD,Metal1,215.6000,160.7200,4.999997
FILLER_36_368,VDD,Metal1,214.3000,160.2875,4.999997
FILLER_36_360,VDD,Metal1,211.0665,160.1430,4.999997
FILLER_36_342,VDD,Metal1,199.7400,160.2875,4.999997
FILLER_36_308,VDD,Metal1,188.8355,159.9510,4.999997
FILLER_36_298,VDD,Metal1,174.1600,160.7200,4.999998
FILLER_36_290,VDD,Metal1,171.8665,160.1430,4.999998
FILLER_36_274,VDD,Metal1,165.2480,160.0280,4.999998
FILLER_36_264,VDD,Metal1,157.3065,160.1430,4.999998
FILLER_36_248,VDD,Metal1,150.6880,160.0280,4.999998
FILLER_36_240,VDD,Metal1,141.6800,160.7200,4.999998
FILLER_36_237,VDD,Metal1,139.7200,160.7200,4.999998
FILLER_36_235,VDD,Metal1,138.8800,160.7200,4.999998
FILLER_36_219,VDD,Metal1,134.4480,160.0280,4.999998
FILLER_36_210,VDD,Metal1,124.6000,160.7200,4.999999
FILLER_36_206,VDD,Metal1,123.5800,160.2875,4.999999
FILLER_36_172,VDD,Metal1,112.6755,159.9510,4.999999
FILLER_36_138,VDD,Metal1,93.6355,159.9510,4.999999
FILLER_36_135,VDD,Metal1,82.6000,160.7200,4.999999
FILLER_36_131,VDD,Metal1,81.5800,160.2875,4.999999
FILLER_36_115,VDD,Metal1,76.2080,160.0280,4.999999
FILLER_36_108,VDD,Metal1,67.4800,160.7200,4.999999
FILLER_36_104,VDD,Metal1,66.4600,160.2875,4.999999
FILLER_36_70,VDD,Metal1,55.5555,159.9510,4.999999
FILLER_36_36,VDD,Metal1,36.5155,159.9510,4.999999
FILLER_36_2,VDD,Metal1,17.4755,159.9510,4.999999
FILLER_35_422,VDD,Metal1,244.5400,153.3125,4.999958
FILLER_35_419,VDD,Metal1,241.6400,152.8800,4.999958
FILLER_35_417,VDD,Metal1,240.8000,152.8800,4.999958
FILLER_35_409,VDD,Metal1,238.5065,153.4565,4.999958
FILLER_35_393,VDD,Metal1,231.8880,153.5720,4.999958
FILLER_35_360,VDD,Metal1,209.8200,153.3125,4.999961
FILLER_35_352,VDD,Metal1,206.5865,153.4565,4.999961
