Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_36_520,VSS,Metal1,298.4800,156.8000,0.000025
FILLER_36_444,VSS,Metal1,255.6400,156.8000,0.000025
FILLER_36_410,VSS,Metal1,244.6040,157.3975,0.000025
FILLER_36_376,VSS,Metal1,225.5640,157.3975,0.000024
FILLER_36_372,VSS,Metal1,215.6000,156.8000,0.000024
FILLER_36_368,VSS,Metal1,213.5400,157.1485,0.000024
FILLER_36_360,VSS,Metal1,210.0530,157.2615,0.000023
FILLER_36_342,VSS,Metal1,198.9800,157.1485,0.000023
FILLER_36_308,VSS,Metal1,187.4840,157.3975,0.000022
FILLER_36_298,VSS,Metal1,174.1600,156.8000,0.000022
FILLER_36_290,VSS,Metal1,170.8530,157.2615,0.000022
FILLER_36_274,VSS,Metal1,164.0320,157.3480,0.000022
FILLER_36_264,VSS,Metal1,156.2930,157.2615,0.000022
FILLER_36_248,VSS,Metal1,149.4720,157.3480,0.000022
FILLER_36_240,VSS,Metal1,141.6800,156.8000,0.000022
FILLER_36_237,VSS,Metal1,139.7200,156.8000,0.000021
FILLER_36_235,VSS,Metal1,138.8800,156.8000,0.000021
FILLER_36_219,VSS,Metal1,133.2320,157.3480,0.000021
FILLER_36_210,VSS,Metal1,124.6000,156.8000,0.000020
FILLER_36_206,VSS,Metal1,122.8200,157.1485,0.000020
FILLER_36_172,VSS,Metal1,111.3240,157.3975,0.000020
FILLER_36_138,VSS,Metal1,92.2840,157.3975,0.000020
FILLER_36_135,VSS,Metal1,82.6000,156.8000,0.000017
FILLER_36_131,VSS,Metal1,80.8200,157.1485,0.000017
FILLER_36_115,VSS,Metal1,74.9920,157.3480,0.000016
FILLER_36_108,VSS,Metal1,67.4800,156.8000,0.000016
FILLER_36_104,VSS,Metal1,65.7000,157.1485,0.000016
FILLER_36_70,VSS,Metal1,54.2040,157.3975,0.000015
FILLER_36_36,VSS,Metal1,35.1640,157.3975,0.000014
FILLER_36_2,VSS,Metal1,16.1240,157.3975,0.000014
FILLER_35_422,VSS,Metal1,243.7800,156.4510,0.000025
FILLER_35_419,VSS,Metal1,241.6400,156.8000,0.000025
FILLER_35_417,VSS,Metal1,240.8000,156.8000,0.000025
FILLER_35_409,VSS,Metal1,237.4930,156.3380,0.000024
FILLER_35_393,VSS,Metal1,230.6720,156.2520,0.000024
FILLER_35_360,VSS,Metal1,209.0600,156.4510,0.000023
FILLER_35_352,VSS,Metal1,205.5730,156.3380,0.000023
FILLER_35_349,VSS,Metal1,202.4400,156.8000,0.000023
FILLER_35_345,VSS,Metal1,200.6600,156.4510,0.000023
FILLER_35_336,VSS,Metal1,195.1600,156.8000,0.000022
FILLER_35_328,VSS,Metal1,192.1330,156.3380,0.000022
FILLER_35_297,VSS,Metal1,173.6000,156.8000,0.000022
FILLER_35_293,VSS,Metal1,171.5400,156.4510,0.000022
FILLER_35_286,VSS,Metal1,167.4400,156.8000,0.000022
FILLER_35_282,VSS,Metal1,165.3800,156.4510,0.000022
FILLER_35_269,VSS,Metal1,157.9200,156.8000,0.000022
FILLER_35_239,VSS,Metal1,140.8400,156.8000,0.000022
FILLER_35_235,VSS,Metal1,139.0600,156.4510,0.000021
FILLER_35_227,VSS,Metal1,135.5730,156.3380,0.000021
FILLER_35_218,VSS,Metal1,129.0800,156.8000,0.000021
FILLER_35_206,VSS,Metal1,122.8200,156.4510,0.000020
FILLER_35_198,VSS,Metal1,119.3330,156.3380,0.000020
FILLER_35_168,VSS,Metal1,101.0800,156.8000,0.000020
FILLER_35_160,VSS,Metal1,98.0530,156.3380,0.000020
FILLER_35_150,VSS,Metal1,91.0000,156.8000,0.000020
FILLER_35_142,VSS,Metal1,87.9730,156.3380,0.000020
