Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,307
design__inferred_latch__count,0
design__instance__count,1354
design__instance__area,22189.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,1
design__max_cap_violation__count__corner:nom_tt_025C_5v00,1
power__internal__total,0.001254222821444273
power__switching__total,0.0004672846116591245
power__leakage__total,1.6067612307324453E-7
power__total,0.0017216680571436882
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.2648364658091822
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.26515471124819157
timing__hold__ws__corner:nom_tt_025C_5v00,0.5615360557705009
timing__setup__ws__corner:nom_tt_025C_5v00,73.26893077415076
timing__hold__tns__corner:nom_tt_025C_5v00,0
timing__setup__tns__corner:nom_tt_025C_5v00,0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.561536
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,97.193718
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,9
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,1
design__max_cap_violation__count__corner:nom_ss_125C_4v50,1
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.27636013704149315
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.27667921514779453
timing__hold__ws__corner:nom_ss_125C_4v50,1.273294616894775
timing__setup__ws__corner:nom_ss_125C_4v50,67.62476992014943
timing__hold__tns__corner:nom_ss_125C_4v50,0
timing__setup__tns__corner:nom_ss_125C_4v50,0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.273295
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,94.813629
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,1
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,1
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.25958672057761795
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.25990491050547454
timing__hold__ws__corner:nom_ff_n40C_5v50,0.2419215451995676
timing__setup__ws__corner:nom_ff_n40C_5v50,75.75809705103661
timing__hold__tns__corner:nom_ff_n40C_5v50,0
timing__setup__tns__corner:nom_ff_n40C_5v50,0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.241922
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,98.226608
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,9
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.25841643445426266
clock__skew__worst_setup,0.2586886611475998
timing__hold__ws,0.23986624476710242
timing__setup__ws,67.36649473382347
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.239866
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,94.805939
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 162.49 180.41
design__core__bbox,6.72 15.68 155.68 164.64
design__io,38
design__die__area,29314.8
design__core__area,22189.1
design__instance__count__stdcell,715
design__instance__area__stdcell,15111.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.681045
design__instance__utilization__stdcell,0.681045
design__rows,38
design__rows:GF018hv5v_mcu_sc7,38
design__sites,10108
design__sites:GF018hv5v_mcu_sc7,10108
design__instance__count__class:buffer,1
design__instance__area__class:buffer,13.1712
design__instance__count__class:inverter,30
design__instance__area__class:inverter,263.424
design__instance__count__class:sequential_cell,83
design__instance__area__class:sequential_cell,5283.85
design__instance__count__class:multi_input_combinational_cell,297
design__instance__area__class:multi_input_combinational_cell,5547.27
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,76
design__instance__area__class:endcap_cell,333.67
design__instance__count__class:tap_cell,140
design__instance__area__class:tap_cell,614.656
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,33.42
design__instance__displacement__mean,0.0465
design__instance__displacement__max,11.773
route__wirelength__estimated,15213.1
design__violations,0
design__instance__count__class:timing_repair_buffer,58
design__instance__area__class:timing_repair_buffer,1804.45
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,30
design__instance__area__class:clock_buffer,1251.26
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2
global_route__vias,3442
global_route__wirelength,26745
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,501
route__net__special,2
route__drc_errors__iter:0,116
route__wirelength__iter:0,16432
route__drc_errors__iter:1,25
route__wirelength__iter:1,16355
route__drc_errors__iter:2,33
route__wirelength__iter:2,16305
route__drc_errors__iter:3,0
route__wirelength__iter:3,16272
route__drc_errors,0
route__wirelength,16272
route__vias,3133
route__vias__singlecut,3133
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,446.67
design__instance__count__class:fill_cell,639
design__instance__area__class:fill_cell,7077.32
timing__unannotated_net__count__corner:nom_tt_025C_5v00,15
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,15
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,15
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
