net,length_um
net10,645.97µm
_103_,386.34µm
net34,280.32µm
clknet_0_CLK_I,258.2µm
recv_data_buffer\[3\],251.13µm
iteration\[1\],242.68µm
iteration\[0\],237.23µm
addr_pointer_register_internal\[0\],211.32µm
_277_,200.32µm
recv_data_buffer\[2\],194.62µm
_102_,191.67µm
wb_master_state\[1\],190.37µm
clknet_3_4__leaf_CLK_I,186.12µm
_322_,186.02µm
_317_,185.15µm
_137_,184.08µm
recv_data_buffer\[5\],182.66µm
_320_,168.71µm
clknet_3_3__leaf_CLK_I,167.13µm
_395_,162.6µm
recv_data_buffer\[6\],158.12µm
clknet_3_1__leaf_CLK_I,155.37µm
net21,154.2µm
i2c_scl_in_synchronised_internal,153.59µm
falling_edge_detected,153.13µm
_100_,153.08µm
i2c_state\[0\],151.5µm
_140_,149.31µm
_118_,148.14µm
i2c_state\[1\],147.02µm
clknet_3_6__leaf_CLK_I,145.75µm
_092_,144.63µm
CLK_I,144.39µm
recv_data_buffer\[7\],140.25µm
clknet_3_5__leaf_CLK_I,139.03µm
_169_,136.69µm
clknet_3_7__leaf_CLK_I,136.18µm
recv_data_buffer\[4\],132.77µm
_260_,131.9µm
addr_pointer_register_internal\[3\],131.9µm
i2c_sda_in_synchronised_internal,131.8µm
wb_master_state\[0\],127.47µm
clknet_3_2__leaf_CLK_I,127.17µm
rising_edge_detected,121.16µm
_261_,120.65µm
_240_,120.5µm
_111_,117.14µm
net1,116.93µm
addr_pointer_register_internal\[1\],114.95µm
_211_,112.76µm
iteration\[3\],107.87µm
_383_,107.62µm
_101_,105.99µm
_113_,104.92µm
clknet_3_0__leaf_CLK_I,104.82µm
_084_,100.95µm
address_data_buffer_internal\[0\],99.27µm
_312_,99.12µm
_136_,98.71µm
_085_,95.5µm
_321_,95.3µm
_166_,93.57µm
recv_data_buffer\[1\],92.4µm
addr_pointer_register_internal\[2\],91.94µm
_154_,91.91µm
net36,91.89µm
_082_,91.84µm
_119_,90.26µm
_253_,88.53µm
recv_data_buffer\[0\],86.85µm
_364_,86.29µm
_074_,86.24µm
_083_,85.17µm
received_data_internal_flag,84.81µm
_115_,84.15µm
net26,82.98µm
_180_,82.37µm
_270_,81.45µm
addr_pointer_register_internal\[4\],79.21µm
