Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_37_265,VDD,Metal1,155.6800,160.7200,4.999963
FILLER_37_208,VDD,Metal1,123.4800,160.7200,4.999963
FILLER_37_206,VDD,Metal1,122.6400,160.7200,4.999963
FILLER_37_172,VDD,Metal1,103.3200,160.7200,4.999964
FILLER_37_138,VDD,Metal1,84.5600,160.7200,4.999965
FILLER_37_130,VDD,Metal1,79.8000,160.7200,4.999965
FILLER_37_128,VDD,Metal1,78.9600,160.7200,4.999965
FILLER_37_120,VDD,Metal1,76.6665,161.2965,4.999965
FILLER_37_104,VDD,Metal1,70.0480,161.4120,4.999966
FILLER_37_90,VDD,Metal1,57.6800,160.7200,4.999968
FILLER_37_86,VDD,Metal1,56.3800,161.1525,4.999968
FILLER_37_70,VDD,Metal1,51.0080,161.4120,4.999968
FILLER_37_64,VDD,Metal1,44.0600,161.1525,4.999968
FILLER_37_56,VDD,Metal1,40.8265,161.2965,4.999969
FILLER_37_40,VDD,Metal1,29.4000,160.7200,4.999970
FILLER_37_36,VDD,Metal1,28.3800,161.1525,4.999970
FILLER_37_32,VDD,Metal1,25.2000,160.7200,4.999971
FILLER_37_6,VDD,Metal1,10.3600,160.7200,4.999971
FILLER_37_2,VDD,Metal1,9.3400,161.1525,4.999971
FILLER_36_263,VDD,Metal1,155.5000,160.2875,4.999963
FILLER_36_244,VDD,Metal1,143.6400,160.7200,4.999963
FILLER_36_159,VDD,Metal1,96.0400,160.7200,4.999965
FILLER_36_151,VDD,Metal1,91.5600,160.7200,4.999965
FILLER_36_120,VDD,Metal1,74.4800,160.7200,4.999966
FILLER_36_112,VDD,Metal1,72.1865,160.1430,4.999966
FILLER_36_90,VDD,Metal1,57.4000,160.7200,4.999968
FILLER_36_88,VDD,Metal1,56.5600,160.7200,4.999968
FILLER_36_43,VDD,Metal1,31.0800,160.7200,4.999970
FILLER_36_41,VDD,Metal1,30.2400,160.7200,4.999970
FILLER_36_37,VDD,Metal1,28.9400,160.2875,4.999970
FILLER_36_31,VDD,Metal1,25.5800,160.2875,4.999971
FILLER_35_237,VDD,Metal1,139.7200,152.8800,4.999920
FILLER_35_209,VDD,Metal1,124.0400,152.8800,4.999923
FILLER_35_207,VDD,Metal1,123.2000,152.8800,4.999923
FILLER_35_119,VDD,Metal1,73.9200,152.8800,4.999927
FILLER_35_76,VDD,Metal1,49.5600,152.8800,4.999941
FILLER_35_72,VDD,Metal1,48.5400,153.3125,4.999941
FILLER_35_68,VDD,Metal1,45.3600,152.8800,4.999941
FILLER_35_60,VDD,Metal1,43.0665,153.4565,4.999941
FILLER_34_247,VDD,Metal1,146.5400,152.4475,4.999920
FILLER_34_115,VDD,Metal1,71.4000,152.8800,4.999936
FILLER_34_101,VDD,Metal1,64.7800,152.4475,4.999938
FILLER_34_43,VDD,Metal1,31.0800,152.8800,4.999942
FILLER_34_41,VDD,Metal1,30.2400,152.8800,4.999942
FILLER_34_37,VDD,Metal1,28.9400,152.4475,4.999942
FILLER_34_34,VDD,Metal1,26.0400,152.8800,4.999942
FILLER_34_18,VDD,Metal1,21.8880,152.1880,4.999949
FILLER_33_266,VDD,Metal1,155.9600,145.0400,4.999897
FILLER_33_144,VDD,Metal1,87.6400,145.0400,4.999904
FILLER_33_142,VDD,Metal1,86.8000,145.0400,4.999904
FILLER_33_129,VDD,Metal1,79.2400,145.0400,4.999960
FILLER_33_121,VDD,Metal1,77.2265,145.6165,4.999960
FILLER_33_105,VDD,Metal1,70.6080,145.7320,4.999961
FILLER_33_88,VDD,Metal1,57.5000,145.4725,4.999963
FILLER_33_74,VDD,Metal1,48.4400,145.0400,4.999964
FILLER_33_72,VDD,Metal1,47.6000,145.0400,4.999964
FILLER_33_53,VDD,Metal1,36.9600,145.0400,4.999965
FILLER_33_23,VDD,Metal1,19.8800,145.0400,4.999965
FILLER_33_19,VDD,Metal1,18.8600,145.4725,4.999965
FILLER_33_6,VDD,Metal1,10.3600,145.0400,4.999965
FILLER_33_2,VDD,Metal1,9.3400,145.4725,4.999965
FILLER_32_247,VDD,Metal1,146.5400,144.6075,4.999897
FILLER_32_215,VDD,Metal1,127.4000,145.0400,4.999897
FILLER_32_213,VDD,Metal1,126.5600,145.0400,4.999897
FILLER_32_183,VDD,Metal1,109.4800,145.0400,4.999898
FILLER_32_143,VDD,Metal1,87.3600,145.0400,4.999904
FILLER_32_131,VDD,Metal1,81.5800,144.6075,4.999948
FILLER_32_123,VDD,Metal1,78.3465,144.4630,4.999960
FILLER_32_107,VDD,Metal1,71.7280,144.3480,4.999960
FILLER_32_103,VDD,Metal1,64.9600,145.0400,4.999962
FILLER_32_99,VDD,Metal1,63.6600,144.6075,4.999962
FILLER_31_216,VDD,Metal1,127.9600,137.2000,4.999781
FILLER_31_212,VDD,Metal1,126.9400,137.6325,4.999781
FILLER_31_193,VDD,Metal1,115.0800,137.2000,4.999781
FILLER_31_160,VDD,Metal1,97.8200,137.6325,4.999784
FILLER_31_153,VDD,Metal1,92.6800,137.2000,4.999789
FILLER_31_151,VDD,Metal1,91.8400,137.2000,4.999789
FILLER_31_144,VDD,Metal1,87.6400,137.2000,4.999789
FILLER_31_142,VDD,Metal1,86.8000,137.2000,4.999789
FILLER_31_104,VDD,Metal1,65.2400,137.2000,4.999801
FILLER_31_102,VDD,Metal1,64.4000,137.2000,4.999801
FILLER_31_94,VDD,Metal1,62.1065,137.7765,4.999835
FILLER_31_85,VDD,Metal1,54.8800,137.2000,4.999839
FILLER_31_6,VDD,Metal1,10.3600,137.2000,4.999851
FILLER_31_2,VDD,Metal1,9.3400,137.6325,4.999851
FILLER_30_247,VDD,Metal1,146.5400,136.7675,4.999780
FILLER_30_128,VDD,Metal1,79.9000,136.7675,4.999793
FILLER_30_111,VDD,Metal1,69.1600,137.2000,4.999793
FILLER_30_107,VDD,Metal1,68.1400,136.7675,4.999793
FILLER_30_104,VDD,Metal1,65.2400,137.2000,4.999801
FILLER_30_102,VDD,Metal1,64.4000,137.2000,4.999801
FILLER_30_87,VDD,Metal1,55.7200,137.2000,4.999839
FILLER_30_33,VDD,Metal1,25.7600,137.2000,4.999851
FILLER_30_2,VDD,Metal1,8.4000,137.2000,4.999851
FILLER_29_237,VDD,Metal1,139.7200,129.3600,4.999846
FILLER_29_142,VDD,Metal1,86.5200,129.3600,4.999858
FILLER_29_72,VDD,Metal1,47.3200,129.3600,4.999890
FILLER_29_37,VDD,Metal1,28.9400,129.7925,4.999892
FILLER_29_21,VDD,Metal1,23.5680,130.0520,4.999899
FILLER_29_12,VDD,Metal1,13.7200,129.3600,4.999899
FILLER_29_10,VDD,Metal1,12.8800,129.3600,4.999899
FILLER_29_2,VDD,Metal1,10.5865,129.9365,4.999899
FILLER_28_247,VDD,Metal1,146.5400,128.9275,4.999846
FILLER_28_215,VDD,Metal1,127.4000,129.3600,4.999846
FILLER_28_211,VDD,Metal1,126.3800,128.9275,4.999846
FILLER_28_177,VDD,Metal1,106.4000,129.3600,4.999846
FILLER_28_146,VDD,Metal1,88.7600,129.3600,4.999857
FILLER_28_141,VDD,Metal1,85.9600,129.3600,4.999860
FILLER_28_139,VDD,Metal1,85.1200,129.3600,4.999862
FILLER_28_107,VDD,Metal1,76.2755,128.5910,4.999877
FILLER_28_45,VDD,Metal1,32.4800,129.3600,4.999892
FILLER_28_37,VDD,Metal1,30.1865,128.7830,4.999892
FILLER_28_31,VDD,Metal1,25.5800,128.9275,4.999899
FILLER_27_212,VDD,Metal1,125.7200,121.5200,4.999908
FILLER_27_188,VDD,Metal1,112.2800,121.5200,4.999909
FILLER_27_158,VDD,Metal1,95.4800,121.5200,4.999910
FILLER_27_156,VDD,Metal1,94.6400,121.5200,4.999910
FILLER_27_142,VDD,Metal1,86.8000,121.5200,4.999910
FILLER_27_139,VDD,Metal1,84.8400,121.5200,4.999911
FILLER_27_137,VDD,Metal1,84.0000,121.5200,4.999911
FILLER_27_133,VDD,Metal1,82.7000,121.9525,4.999911
FILLER_27_72,VDD,Metal1,47.6000,121.5200,4.999912
FILLER_27_53,VDD,Metal1,36.6800,121.5200,4.999916
FILLER_27_51,VDD,Metal1,35.8400,121.5200,4.999916
FILLER_27_43,VDD,Metal1,33.5465,122.0965,4.999916
FILLER_27_10,VDD,Metal1,13.8200,121.9525,4.999919
FILLER_27_2,VDD,Metal1,10.5865,122.0965,4.999919
FILLER_26_247,VDD,Metal1,146.5400,121.0875,4.999908
FILLER_26_204,VDD,Metal1,121.2400,121.5200,4.999909
FILLER_26_202,VDD,Metal1,120.4000,121.5200,4.999909
FILLER_26_154,VDD,Metal1,93.2400,121.5200,4.999910
FILLER_26_142,VDD,Metal1,86.5200,121.5200,4.999910
FILLER_26_140,VDD,Metal1,85.6800,121.5200,4.999910
FILLER_26_107,VDD,Metal1,68.1400,121.0875,4.999911
FILLER_26_70,VDD,Metal1,46.2000,121.5200,4.999914
FILLER_26_68,VDD,Metal1,45.3600,121.5200,4.999915
FILLER_26_49,VDD,Metal1,34.4400,121.5200,4.999916
FILLER_26_45,VDD,Metal1,33.4200,121.0875,4.999916
FILLER_26_26,VDD,Metal1,21.5600,121.5200,4.999919
FILLER_26_22,VDD,Metal1,20.5400,121.0875,4.999919
FILLER_26_14,VDD,Metal1,17.3065,120.9430,4.999919
FILLER_26_8,VDD,Metal1,11.4800,121.5200,4.999919
FILLER_26_6,VDD,Metal1,10.6400,121.5200,4.999919
FILLER_26_2,VDD,Metal1,9.3400,121.0875,4.999919
FILLER_25_212,VDD,Metal1,125.7200,113.6800,4.999953
FILLER_25_208,VDD,Metal1,123.7600,113.6800,4.999953
FILLER_25_158,VDD,Metal1,95.7600,113.6800,4.999958
FILLER_25_154,VDD,Metal1,94.4600,114.1125,4.999958
FILLER_25_142,VDD,Metal1,86.5200,113.6800,4.999959
FILLER_25_139,VDD,Metal1,84.8400,113.6800,4.999960
FILLER_25_135,VDD,Metal1,83.8200,114.1125,4.999960
FILLER_25_127,VDD,Metal1,80.5865,114.2565,4.999960
FILLER_25_111,VDD,Metal1,69.1600,113.6800,4.999966
FILLER_25_109,VDD,Metal1,68.3200,113.6800,4.999967
FILLER_25_99,VDD,Metal1,62.4400,113.6800,4.999967
FILLER_25_95,VDD,Metal1,61.4200,114.1125,4.999967
FILLER_25_89,VDD,Metal1,57.1200,113.6800,4.999967
FILLER_25_85,VDD,Metal1,55.8200,114.1125,4.999967
FILLER_25_76,VDD,Metal1,49.5600,113.6800,4.999967
FILLER_25_69,VDD,Metal1,45.6400,113.6800,4.999967
FILLER_25_67,VDD,Metal1,44.8000,113.6800,4.999967
FILLER_25_63,VDD,Metal1,43.5000,114.1125,4.999967
FILLER_25_47,VDD,Metal1,38.1280,114.3720,4.999968
FILLER_25_35,VDD,Metal1,26.6000,113.6800,4.999969
FILLER_25_31,VDD,Metal1,25.5800,114.1125,4.999969
FILLER_24_247,VDD,Metal1,146.5400,113.2475,4.999952
FILLER_24_241,VDD,Metal1,143.1800,113.2475,4.999952
FILLER_24_150,VDD,Metal1,92.2200,113.2475,4.999959
FILLER_24_122,VDD,Metal1,76.5400,113.2475,4.999961
FILLER_24_109,VDD,Metal1,68.0400,113.6800,4.999967
FILLER_24_107,VDD,Metal1,67.2000,113.6800,4.999967
FILLER_24_81,VDD,Metal1,57.1680,112.9880,4.999967
FILLER_24_75,VDD,Metal1,49.0000,113.6800,4.999967
FILLER_24_73,VDD,Metal1,48.1600,113.6800,4.999967
FILLER_24_57,VDD,Metal1,43.7280,112.9880,4.999967
FILLER_24_45,VDD,Metal1,33.4200,113.2475,4.999968
FILLER_23_237,VDD,Metal1,139.7200,105.8400,4.999947
FILLER_23_212,VDD,Metal1,126.9400,106.2725,4.999948
FILLER_23_156,VDD,Metal1,94.6400,105.8400,4.999949
FILLER_23_152,VDD,Metal1,93.3400,106.2725,4.999949
FILLER_23_126,VDD,Metal1,78.7800,106.2725,4.999950
