Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_35_237,VSS,Metal1,139.7200,156.8000,0.000011
FILLER_35_178,VSS,Metal1,106.6800,156.8000,0.000011
FILLER_35_104,VSS,Metal1,65.2400,156.8000,0.000010
FILLER_35_86,VSS,Metal1,55.1600,156.8000,0.000009
FILLER_35_70,VSS,Metal1,49.7920,156.2520,0.000009
FILLER_35_36,VSS,Metal1,27.4400,156.8000,0.000007
FILLER_35_18,VSS,Metal1,20.6720,156.2520,0.000007
FILLER_34_255,VSS,Metal1,149.8000,148.9600,0.000067
FILLER_34_253,VSS,Metal1,148.9600,148.9600,0.000067
FILLER_34_244,VSS,Metal1,143.6400,148.9600,0.000067
FILLER_34_107,VSS,Metal1,66.9200,148.9600,0.000062
FILLER_34_90,VSS,Metal1,57.6800,148.9600,0.000058
FILLER_34_45,VSS,Metal1,32.2000,148.9600,0.000055
FILLER_34_37,VSS,Metal1,29.1730,149.4215,0.000055
FILLER_34_34,VSS,Metal1,26.0400,148.9600,0.000050
FILLER_34_8,VSS,Metal1,11.4800,148.9600,0.000051
FILLER_34_6,VSS,Metal1,10.6400,148.9600,0.000051
FILLER_34_2,VSS,Metal1,8.5800,149.3085,0.000051
FILLER_33_200,VSS,Metal1,119.0000,148.9600,0.000067
FILLER_33_107,VSS,Metal1,67.3800,148.6110,0.000062
FILLER_33_87,VSS,Metal1,55.7200,148.9600,0.000057
FILLER_33_63,VSS,Metal1,42.5600,148.9600,0.000057
FILLER_33_33,VSS,Metal1,25.4800,148.9600,0.000050
FILLER_33_31,VSS,Metal1,24.6400,148.9600,0.000050
FILLER_32_255,VSS,Metal1,149.8000,141.1200,0.000043
FILLER_32_244,VSS,Metal1,143.6400,141.1200,0.000043
FILLER_32_189,VSS,Metal1,112.8400,141.1200,0.000043
FILLER_32_185,VSS,Metal1,111.0600,141.4685,0.000043
FILLER_32_166,VSS,Metal1,99.9600,141.1200,0.000043
FILLER_32_164,VSS,Metal1,99.1200,141.1200,0.000043
FILLER_32_133,VSS,Metal1,81.7600,141.1200,0.000042
FILLER_32_78,VSS,Metal1,50.6800,141.1200,0.000035
FILLER_32_37,VSS,Metal1,29.1730,141.5815,0.000035
FILLER_32_2,VSS,Metal1,8.5800,141.4685,0.000035
FILLER_31_255,VSS,Metal1,149.8000,141.1200,0.000043
FILLER_31_251,VSS,Metal1,148.0200,140.7710,0.000043
FILLER_31_206,VSS,Metal1,122.8200,140.7710,0.000043
FILLER_31_106,VSS,Metal1,66.8200,140.7710,0.000039
FILLER_31_98,VSS,Metal1,63.3330,140.6580,0.000039
FILLER_31_84,VSS,Metal1,54.0400,141.1200,0.000036
FILLER_31_82,VSS,Metal1,53.2000,141.1200,0.000036
FILLER_31_68,VSS,Metal1,45.3600,141.1200,0.000035
FILLER_31_58,VSS,Metal1,39.7600,141.1200,0.000035
FILLER_31_28,VSS,Metal1,22.6800,141.1200,0.000035
FILLER_31_26,VSS,Metal1,21.8400,141.1200,0.000035
FILLER_31_18,VSS,Metal1,18.5330,140.6580,0.000035
FILLER_31_2,VSS,Metal1,11.7120,140.5720,0.000035
FILLER_30_215,VSS,Metal1,127.4000,133.2800,0.000060
FILLER_30_211,VSS,Metal1,125.6200,133.6285,0.000059
FILLER_30_181,VSS,Metal1,108.3600,133.2800,0.000058
FILLER_30_177,VSS,Metal1,106.5800,133.6285,0.000058
FILLER_30_117,VSS,Metal1,72.5200,133.2800,0.000057
FILLER_30_115,VSS,Metal1,71.6800,133.2800,0.000057
FILLER_30_107,VSS,Metal1,68.3730,133.7415,0.000057
FILLER_30_104,VSS,Metal1,65.2400,133.2800,0.000057
FILLER_30_100,VSS,Metal1,63.4600,133.6285,0.000056
FILLER_30_92,VSS,Metal1,59.9730,133.7415,0.000055
FILLER_30_77,VSS,Metal1,50.1200,133.2800,0.000054
FILLER_30_31,VSS,Metal1,24.8200,133.6285,0.000049
FILLER_29_193,VSS,Metal1,115.0800,133.2800,0.000059
FILLER_29_139,VSS,Metal1,84.8400,133.2800,0.000058
FILLER_29_137,VSS,Metal1,84.0000,133.2800,0.000058
FILLER_29_98,VSS,Metal1,62.1600,133.2800,0.000055
FILLER_29_90,VSS,Metal1,58.8530,132.8180,0.000055
FILLER_29_82,VSS,Metal1,52.9200,133.2800,0.000054
FILLER_29_80,VSS,Metal1,52.0800,133.2800,0.000054
FILLER_29_63,VSS,Metal1,42.5600,133.2800,0.000054
FILLER_29_4,VSS,Metal1,9.2400,133.2800,0.000049
FILLER_29_2,VSS,Metal1,8.4000,133.2800,0.000049
FILLER_28_219,VSS,Metal1,129.6400,125.4400,0.000066
FILLER_28_189,VSS,Metal1,112.8400,125.4400,0.000066
FILLER_28_185,VSS,Metal1,111.0600,125.7885,0.000066
FILLER_28_155,VSS,Metal1,94.2600,125.7885,0.000065
